BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,ExterCond,ExterQual,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,HalfBath,HeatingQC,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotFrontage,LotShape,MasVnrType,MiscVal,OverallCond,OverallQual,PavedDrive,PoolQC,SalePrice,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,Remodelled_ago,Sold_ago,Garage_ago,FlrsSF,3SsnPorch1,EnclosedPorch1,MasVnrArea1,OpenPorchSF1,LowQualFinSF1,PoolArea1,ScreenPorch1,WoodDeckSF1,LotArea1,BsmtFinSFtot1,Alley_Grvl,BldgType_1Fam,BldgType_TwnhsE,BsmtFinType1_absent,BsmtFinType1_GLQ,BsmtFinType1_Unf,BsmtFinType1_Rec,BsmtFinType2_absent,Condition1_Feedr,Condition1_PosN,Electrical_SBrkr,Exterior1st_AsbShng,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_VinylSd,Exterior2nd_AsbShng,Exterior2nd_CmentBd,Exterior2nd_ImStucc,Exterior2nd_VinylSd,Fence_absent,Foundation_PConc,Foundation_Slab,Heating_GasA,HouseStyle_2Story,HouseStyle_1Story,HouseStyle_2.5Fin,LotConfig_CulDSac,MSSubClass_60,MSSubClass_120,MSSubClass_20,MSSubClass_30,MSZoning_FV,MSZoning_RL,Neighborhood_Sawyer,Neighborhood_SWISU,Neighborhood_OldTown,Neighborhood_NridgHt,Neighborhood_NoRidge,Neighborhood_NWAmes,Neighborhood_NPkVill,Neighborhood_NAmes,Neighborhood_Mitchel,Neighborhood_MeadowV,Neighborhood_IDOTRR,Neighborhood_Gilbert,Neighborhood_Edwards,Neighborhood_CollgCr,Neighborhood_BrDale,Neighborhood_Blmngtn,RoofMatl_WdShngl,RoofStyle_Hip,SaleCondition_Partial,SaleCondition_Normal,SaleType_New
3,1,1,1,0,3,134.0,1,3,3,0,0,1,7,384.0,1,3,1,3,2,1040.0,0,5,11,1,3,3,2,70.0,3,0,0,5,5,2,0,129500.0,1,5,1040.0,1,0,9,0,1040.0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,1,1,1,0,5,177.0,1,3,5,2,2,3,7,736.0,3,3,3,3,5,2324.0,0,5,12,1,5,3,2,85.0,2,2,0,5,9,2,0,345000.0,1,11,1175.0,1,1,11,0,2324.0,0,0,2,1,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2,1,1,1,0,3,175.0,1,3,3,0,0,1,7,352.0,1,3,1,3,2,912.0,0,3,13,1,3,3,2,68.0,1,0,0,6,5,2,0,144000.0,1,4,912.0,1,0,9,0,912.0,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,1,3,0,0,4,1494.0,1,3,4,2,1,2,7,840.0,3,3,2,3,4,1494.0,0,5,14,1,4,3,2,91.0,2,2,0,5,7,2,0,279500.0,1,7,1494.0,1,1,10,0,1494.0,0,0,2,2,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2,1,1,1,0,3,520.0,1,3,3,0,1,1,7,352.0,1,3,2,3,4,1253.0,1,3,15,1,3,3,2,68.0,2,1,0,5,6,2,0,157000.0,1,5,1253.0,1,0,9,0,1253.0,0,1,2,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2,1,1,0,0,3,832.0,1,3,3,0,0,1,7,576.0,2,3,1,3,2,854.0,0,5,16,1,3,3,2,51.0,3,0,0,8,7,2,0,132000.0,1,5,832.0,1,72,10,62,854.0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,1,0,3,426.0,1,3,3,1,1,1,7,480.0,2,3,3,3,4,1004.0,0,5,17,1,3,3,2,68.0,2,1,700,7,6,2,0,149000.0,1,5,1004.0,1,0,7,0,1004.0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0.0,1,3,3,0,0,2,7,516.0,2,3,1,3,1,1296.0,0,3,18,2,3,3,2,72.0,3,0,500,5,4,2,0,90000.0,1,6,0.0,1,0,11,0,1296.0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,1,0,3,468.0,1,3,3,0,0,1,7,576.0,2,3,1,3,2,1114.0,1,5,19,1,4,3,2,66.0,3,0,0,5,5,2,0,159000.0,1,6,1114.0,1,0,9,0,1114.0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,3,525.0,1,3,3,0,0,1,6,294.0,1,3,1,3,4,1339.0,0,3,20,1,3,3,2,70.0,3,0,0,6,5,2,0,139000.0,1,6,1029.0,1,7,8,0,1339.0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,3,0,0,5,1158.0,1,3,4,2,1,3,7,853.0,3,3,2,3,5,2376.0,1,5,21,1,4,3,2,101.0,2,1,0,5,8,2,0,325300.0,1,9,1158.0,1,1,11,0,2376.0,0,0,2,3,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,1,1,0,0,3,637.0,1,3,3,2,1,1,7,280.0,1,3,1,3,4,1108.0,0,5,22,1,4,1,2,57.0,3,0,0,7,7,0,0,139400.0,1,6,637.0,1,20,10,0,1108.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,4,1777.0,1,3,4,2,1,2,7,534.0,2,3,2,3,4,1795.0,0,5,23,1,4,3,2,75.0,3,1,0,5,8,2,0,230000.0,1,7,1777.0,1,0,9,0,1795.0,0,0,2,3,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,1,1,1,0,4,200.0,1,3,3,1,1,1,7,572.0,2,3,1,3,4,1060.0,0,3,24,1,3,3,2,44.0,3,0,0,7,5,2,0,129900.0,1,6,1040.0,1,0,10,0,1060.0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,1,2,1,0,3,204.0,1,4,3,1,1,1,7,270.0,1,3,1,3,4,1060.0,0,5,25,1,4,3,2,68.0,2,0,0,8,5,2,0,154000.0,1,6,1060.0,1,33,7,0,1060.0,0,0,0,3,0,0,0,3,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,4,1566.0,1,3,4,2,1,2,7,890.0,3,3,2,3,4,1600.0,0,5,26,1,4,3,2,110.0,3,2,0,5,8,2,0,256300.0,1,7,1566.0,1,0,8,0,1600.0,0,0,3,2,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,2,0,1,3,180.0,1,3,3,0,0,1,7,576.0,2,3,1,3,2,900.0,0,3,27,1,4,3,2,60.0,3,0,0,7,5,2,0,134800.0,1,5,900.0,1,49,7,54,900.0,0,0,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,1,0,5,486.0,1,3,4,2,1,2,7,772.0,3,3,2,3,4,1704.0,0,5,28,1,4,3,2,98.0,3,2,0,5,8,2,0,306000.0,1,7,1704.0,1,1,7,1,1704.0,0,0,3,2,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,4,1,0,3,207.0,1,3,3,2,2,1,7,319.0,1,3,2,3,4,1600.0,0,3,29,1,3,3,2,47.0,2,0,0,6,5,2,0,207500.0,1,6,1484.0,1,40,11,0,1600.0,0,0,0,4,0,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,3,520.0,0,3,3,0,0,1,7,240.0,1,3,1,2,2,520.0,0,2,30,1,2,3,2,60.0,2,0,0,6,4,2,0,68500.0,1,4,520.0,1,23,9,-7,520.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,3,649.0,0,2,3,0,0,1,7,250.0,1,2,1,3,2,1317.0,0,3,31,1,3,3,2,50.0,3,0,0,4,4,0,0,40000.0,1,6,649.0,1,30,9,0,1317.0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,3,1228.0,1,3,3,0,0,1,7,271.0,1,3,1,3,4,1228.0,1,4,32,1,4,3,2,68.0,2,0,0,6,5,2,0,149350.0,1,6,1228.0,1,40,9,0,1228.0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,3,0,0,5,1234.0,1,3,4,0,0,2,7,484.0,2,3,2,3,4,1234.0,0,5,33,1,4,3,2,85.0,3,0,0,5,8,2,0,179900.0,1,7,1234.0,1,0,9,0,1234.0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,1,1,0,1,3,380.0,1,3,3,2,1,1,7,447.0,2,3,2,3,4,1700.0,1,4,34,1,4,3,2,70.0,2,0,0,5,5,2,0,165500.0,1,6,1398.0,1,0,7,0,1700.0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2,1,1,1,0,5,408.0,1,3,5,2,1,2,7,556.0,2,3,3,3,4,1561.0,0,5,35,1,5,3,2,60.0,3,1,0,5,9,2,0,277500.0,1,6,1561.0,1,0,10,0,1561.0,0,0,2,2,0,0,0,2,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,1,3,0,0,5,1117.0,1,3,4,2,1,3,7,691.0,3,3,3,3,5,2452.0,1,5,36,1,4,3,2,108.0,3,2,0,5,8,2,0,309000.0,1,9,1117.0,1,1,11,0,2452.0,0,0,1,2,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,4,1097.0,1,3,3,0,0,1,7,672.0,2,3,1,3,4,1097.0,1,5,37,1,3,3,2,112.0,3,0,0,5,5,2,0,145000.0,1,6,1097.0,1,1,8,1,1097.0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,1,1,0,1,3,84.0,1,3,3,1,1,1,7,498.0,2,3,3,3,4,1297.0,0,4,38,1,3,3,2,74.0,3,1,0,6,5,2,0,153000.0,1,5,1297.0,1,36,8,0,1297.0,0,0,3,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
3,1,1,1,0,3,326.0,1,4,3,0,0,1,7,246.0,1,3,1,3,2,1057.0,0,3,39,1,4,3,2,68.0,3,0,0,7,5,2,0,109000.0,1,5,1057.0,1,54,7,0,1057.0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.0,0,3,3,0,0,2,7,0.0,0,0,0,0,0,1152.0,0,3,40,2,2,3,2,65.0,3,0,0,5,4,0,0,82000.0,1,6,0.0,1,0,9,-1955,1152.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,1,1,0,0,3,445.0,1,3,3,1,1,2,7,440.0,2,3,2,3,4,1324.0,0,5,41,1,3,3,2,84.0,3,1,0,5,6,2,0,160000.0,1,6,1088.0,1,0,11,0,1324.0,0,0,1,3,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,0,1,3,383.0,1,4,3,2,2,1,7,308.0,1,3,2,3,4,1328.0,1,4,42,1,3,3,2,115.0,3,0,0,6,5,1,0,170000.0,1,5,1350.0,1,0,10,0,1328.0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,3,1,0,4,0.0,1,3,3,0,0,1,7,504.0,2,4,2,3,4,884.0,0,4,43,1,4,3,2,68.0,2,0,0,7,5,2,0,144000.0,1,5,840.0,1,0,10,0,884.0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,3,1,0,4,167.0,1,3,3,0,0,1,7,308.0,1,3,1,3,2,938.0,0,3,44,1,3,3,2,68.0,2,0,0,6,5,2,0,130250.0,1,5,938.0,1,5,9,2,938.0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,1,1,1,0,3,465.0,1,3,3,0,0,1,7,300.0,1,3,2,3,4,1150.0,0,5,45,1,3,3,2,70.0,3,0,0,6,5,2,0,141000.0,1,6,1150.0,1,0,11,0,1150.0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,1,0,5,1296.0,1,3,5,2,1,2,7,576.0,2,3,2,3,4,1752.0,0,5,46,1,5,3,2,61.0,3,1,0,5,9,2,0,319900.0,1,6,1752.0,1,0,7,0,1752.0,0,0,3,3,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,1,1,0,5,83.0,1,3,4,3,1,1,7,670.0,2,3,2,3,4,2149.0,1,5,47,1,4,3,2,48.0,2,0,0,5,7,2,0,239686.0,1,6,1434.0,1,0,8,0,2149.0,0,0,0,2,0,0,1,1,3,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,0,0,4,1632.0,1,3,4,0,0,2,7,826.0,3,3,2,3,4,1656.0,0,5,48,1,4,3,2,84.0,3,0,0,5,8,2,0,249700.0,1,7,1656.0,1,0,10,0,1656.0,0,0,0,3,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,0,0,3,736.0,1,3,3,0,0,2,7,0.0,0,0,0,0,0,1452.0,0,4,49,3,3,3,2,33.0,3,0,0,5,4,0,0,113000.0,1,8,736.0,1,88,8,-1920,1452.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,1,1,1,0,3,192.0,1,3,3,0,0,1,7,386.0,1,3,1,3,4,955.0,0,5,50,1,3,3,2,66.0,3,0,0,7,5,2,0,127000.0,1,6,955.0,1,0,10,0,955.0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
